Forward Packets	Forward Bytes	Delta Forward Packets	Delta Forward Bytes	Forward Instantaneous Packets per Second	Forward Average Packets per second	Forward Instantaneous Bytes per Second	Forward Average Bytes per second	Reverse Packets	Reverse Bytes	Delta Reverse Packets	Delta Reverse Bytes	DeltaReverse Instantaneous Packets per Second	Reverse Average Packets per second	Reverse Instantaneous Bytes per Second	Reverse Average Bytes per second	Traffic Type
10	1501	0	0	0.0	1.6666666666666667	0.0	250.16666666666666	6	388	0	0	0.0	1.0	0.0	64.66666666666667	dns
6	388	0	0	0.0	1.0	0.0	64.66666666666667	10	1501	2	309	2.0	2.0	309.0	300.2	dns
6	388	0	0	0.0	1.0	0.0	64.66666666666667	10	1501	0	0	0.0	1.6666666666666667	0.0	250.16666666666666	dns
10	1501	0	0	0.0	1.6666666666666667	0.0	250.16666666666666	6	388	0	0	0.0	1.0	0.0	64.66666666666667	dns
6	388	0	0	0.0	1.0	0.0	64.66666666666667	10	1501	0	0	0.0	1.6666666666666667	0.0	250.16666666666666	dns
6	388	0	0	0.0	0.8571428571428571	0.0	55.42857142857143	10	1501	0	0	0.0	1.6666666666666667	0.0	250.16666666666666	dns
10	1501	0	0	0.0	1.6666666666666667	0.0	250.16666666666666	6	388	0	0	0.0	1.0	0.0	64.66666666666667	dns
6	388	0	0	0.0	1.0	0.0	64.66666666666667	10	1501	0	0	0.0	1.6666666666666667	0.0	250.16666666666666	dns
6	388	0	0	0.0	0.8571428571428571	0.0	55.42857142857143	11	1794	1	293	1.0	1.5714285714285714	293.0	256.2857142857143	dns
10	1501	0	0	0.0	1.6666666666666667	0.0	250.16666666666666	6	388	0	0	0.0	1.0	0.0	64.66666666666667	dns
6	388	0	0	0.0	1.0	0.0	64.66666666666667	10	1501	0	0	0.0	1.6666666666666667	0.0	250.16666666666666	dns
6	388	0	0	0.0	0.8571428571428571	0.0	55.42857142857143	11	1794	1	293	1.0	1.5714285714285714	293.0	256.2857142857143	dns
11	1794	1	293	1.0	1.5714285714285714	293.0	256.2857142857143	6	388	0	0	0.0	1.0	0.0	64.66666666666667	dns
6	388	0	0	0.0	1.0	0.0	64.66666666666667	10	1501	0	0	0.0	1.6666666666666667	0.0	250.16666666666666	dns
6	388	0	0	0.0	0.8571428571428571	0.0	55.42857142857143	11	1794	1	293	1.0	1.5714285714285714	293.0	256.2857142857143	dns
11	1794	1	293	1.0	1.5714285714285714	293.0	256.2857142857143	6	388	0	0	0.0	0.8571428571428571	0.0	55.42857142857143	dns
6	388	0	0	0.0	1.0	0.0	64.66666666666667	10	1501	0	0	0.0	1.6666666666666667	0.0	250.16666666666666	dns
6	388	0	0	0.0	0.8571428571428571	0.0	55.42857142857143	11	1794	1	293	1.0	1.5714285714285714	293.0	256.2857142857143	dns
11	1794	1	293	1.0	1.5714285714285714	293.0	256.2857142857143	6	388	0	0	0.0	0.8571428571428571	0.0	55.42857142857143	dns
6	388	0	0	0.0	0.8571428571428571	0.0	55.42857142857143	10	1501	0	0	0.0	1.6666666666666667	0.0	250.16666666666666	dns
6	388	0	0	0.0	0.8571428571428571	0.0	55.42857142857143	11	1794	1	293	1.0	1.5714285714285714	293.0	256.2857142857143	dns
11	1794	1	293	1.0	1.5714285714285714	293.0	256.2857142857143	6	388	0	0	0.0	0.8571428571428571	0.0	55.42857142857143	dns
6	388	0	0	0.0	0.8571428571428571	0.0	55.42857142857143	11	1794	1	293	1.0	1.5714285714285714	293.0	256.2857142857143	dns
6	388	0	0	0.0	0.8571428571428571	0.0	55.42857142857143	11	1794	1	293	1.0	1.5714285714285714	293.0	256.2857142857143	dns
11	1794	0	0	0.0	1.375	0.0	224.25	6	388	0	0	0.0	0.8571428571428571	0.0	55.42857142857143	dns
6	388	0	0	0.0	0.8571428571428571	0.0	55.42857142857143	11	1794	1	293	1.0	1.5714285714285714	293.0	256.2857142857143	dns
6	388	0	0	0.0	0.8571428571428571	0.0	55.42857142857143	11	1794	1	293	1.0	1.5714285714285714	293.0	256.2857142857143	dns
11	1794	0	0	0.0	1.375	0.0	224.25	6	388	0	0	0.0	0.75	0.0	48.5	dns
6	388	0	0	0.0	0.8571428571428571	0.0	55.42857142857143	11	1794	1	293	1.0	1.5714285714285714	293.0	256.2857142857143	dns
6	388	0	0	0.0	0.75	0.0	48.5	11	1794	1	293	1.0	1.5714285714285714	293.0	256.2857142857143	dns
11	1794	0	0	0.0	1.375	0.0	224.25	6	388	0	0	0.0	0.75	0.0	48.5	dns
6	388	0	0	0.0	0.8571428571428571	0.0	55.42857142857143	11	1794	1	293	1.0	1.5714285714285714	293.0	256.2857142857143	dns
6	388	0	0	0.0	0.75	0.0	48.5	11	1794	0	0	0.0	1.375	0.0	224.25	dns
11	1794	0	0	0.0	1.375	0.0	224.25	6	388	0	0	0.0	0.75	0.0	48.5	dns
6	388	0	0	0.0	0.8571428571428571	0.0	55.42857142857143	11	1794	1	293	1.0	1.5714285714285714	293.0	256.2857142857143	dns
6	388	0	0	0.0	0.75	0.0	48.5	11	1794	0	0	0.0	1.375	0.0	224.25	dns
11	1794	0	0	0.0	1.375	0.0	224.25	6	388	0	0	0.0	0.75	0.0	48.5	dns
6	388	0	0	0.0	0.75	0.0	48.5	11	1794	1	293	1.0	1.5714285714285714	293.0	256.2857142857143	dns
6	388	0	0	0.0	0.75	0.0	48.5	11	1794	0	0	0.0	1.375	0.0	224.25	dns
11	1794	0	0	0.0	1.375	0.0	224.25	6	388	0	0	0.0	0.75	0.0	48.5	dns
6	388	0	0	0.0	0.75	0.0	48.5	11	1794	0	0	0.0	1.375	0.0	224.25	dns
6	388	0	0	0.0	0.75	0.0	48.5	11	1794	0	0	0.0	1.375	0.0	224.25	dns
12	2071	1	277	1.0	1.3333333333333333	277.0	230.11111111111111	6	388	0	0	0.0	0.75	0.0	48.5	dns
6	388	0	0	0.0	0.75	0.0	48.5	11	1794	0	0	0.0	1.375	0.0	224.25	dns
6	388	0	0	0.0	0.75	0.0	48.5	11	1794	0	0	0.0	1.375	0.0	224.25	dns
12	2071	1	277	1.0	1.3333333333333333	277.0	230.11111111111111	6	388	0	0	0.0	0.6666666666666666	0.0	43.111111111111114	dns
6	388	0	0	0.0	0.75	0.0	48.5	11	1794	0	0	0.0	1.375	0.0	224.25	dns
