Forward Packets	Forward Bytes	Delta Forward Packets	Delta Forward Bytes	Forward Instantaneous Packets per Second	Forward Average Packets per second	Forward Instantaneous Bytes per Second	Forward Average Bytes per second	Reverse Packets	Reverse Bytes	Delta Reverse Packets	Delta Reverse Bytes	DeltaReverse Instantaneous Packets per Second	Reverse Average Packets per second	Reverse Instantaneous Bytes per Second	Reverse Average Bytes per second	Traffic Type
6	388	0	0	0.0	1.0	0.0	64.66666666666667	296	46220	49	7742	49.0	49.333333333333336	7742.0	7703.333333333333	voice
6	388	0	0	0.0	1.0	0.0	64.66666666666667	296	46220	49	7742	49.0	49.333333333333336	7742.0	7703.333333333333	voice
346	54120	50	7900	50.0	49.42857142857143	7900.0	7731.428571428572	6	388	0	0	0.0	0.8571428571428571	0.0	55.42857142857143	voice
6	388	0	0	0.0	0.8571428571428571	0.0	55.42857142857143	296	46220	49	7742	49.0	49.333333333333336	7742.0	7703.333333333333	voice
6	388	0	0	0.0	1.0	0.0	64.66666666666667	296	46220	49	7742	49.0	49.333333333333336	7742.0	7703.333333333333	voice
346	54120	50	7900	50.0	49.42857142857143	7900.0	7731.428571428572	6	388	0	0	0.0	0.8571428571428571	0.0	55.42857142857143	voice
6	388	0	0	0.0	0.8571428571428571	0.0	55.42857142857143	346	54120	50	7900	50.0	49.42857142857143	7900.0	7731.428571428572	voice
6	388	0	0	0.0	1.0	0.0	64.66666666666667	296	46220	49	7742	49.0	49.333333333333336	7742.0	7703.333333333333	voice
346	54120	50	7900	50.0	49.42857142857143	7900.0	7731.428571428572	6	388	0	0	0.0	0.8571428571428571	0.0	55.42857142857143	voice
6	388	0	0	0.0	0.8571428571428571	0.0	55.42857142857143	346	54120	50	7900	50.0	49.42857142857143	7900.0	7731.428571428572	voice
6	388	0	0	0.0	0.8571428571428571	0.0	55.42857142857143	296	46220	49	7742	49.0	49.333333333333336	7742.0	7703.333333333333	voice
346	54120	50	7900	50.0	49.42857142857143	7900.0	7731.428571428572	6	388	0	0	0.0	0.8571428571428571	0.0	55.42857142857143	voice
6	388	0	0	0.0	0.8571428571428571	0.0	55.42857142857143	346	54120	50	7900	50.0	49.42857142857143	7900.0	7731.428571428572	voice
6	388	0	0	0.0	0.8571428571428571	0.0	55.42857142857143	346	54120	50	7900	50.0	49.42857142857143	7900.0	7731.428571428572	voice
393	61546	47	7426	47.0	49.125	7426.0	7693.25	6	388	0	0	0.0	0.8571428571428571	0.0	55.42857142857143	voice
6	388	0	0	0.0	0.8571428571428571	0.0	55.42857142857143	346	54120	50	7900	50.0	49.42857142857143	7900.0	7731.428571428572	voice
6	388	0	0	0.0	0.8571428571428571	0.0	55.42857142857143	346	54120	50	7900	50.0	49.42857142857143	7900.0	7731.428571428572	voice
393	61546	47	7426	47.0	49.125	7426.0	7693.25	6	388	0	0	0.0	0.75	0.0	48.5	voice
6	388	0	0	0.0	0.8571428571428571	0.0	55.42857142857143	346	54120	50	7900	50.0	49.42857142857143	7900.0	7731.428571428572	voice
6	388	0	0	0.0	0.8571428571428571	0.0	55.42857142857143	346	54120	50	7900	50.0	49.42857142857143	7900.0	7731.428571428572	voice
393	61546	47	7426	47.0	49.125	7426.0	7693.25	6	388	0	0	0.0	0.75	0.0	48.5	voice
6	388	0	0	0.0	0.8571428571428571	0.0	55.42857142857143	346	54120	50	7900	50.0	49.42857142857143	7900.0	7731.428571428572	voice
6	388	0	0	0.0	0.75	0.0	48.5	346	54120	50	7900	50.0	49.42857142857143	7900.0	7731.428571428572	voice
393	61546	47	7426	47.0	49.125	7426.0	7693.25	6	388	0	0	0.0	0.75	0.0	48.5	voice
6	388	0	0	0.0	0.8571428571428571	0.0	55.42857142857143	346	54120	50	7900	50.0	49.42857142857143	7900.0	7731.428571428572	voice
6	388	0	0	0.0	0.75	0.0	48.5	393	61546	47	7426	47.0	49.125	7426.0	7693.25	voice
393	61546	47	7426	47.0	49.125	7426.0	7693.25	6	388	0	0	0.0	0.75	0.0	48.5	voice
6	388	0	0	0.0	0.75	0.0	48.5	346	54120	50	7900	50.0	49.42857142857143	7900.0	7731.428571428572	voice
6	388	0	0	0.0	0.75	0.0	48.5	393	61546	47	7426	47.0	49.125	7426.0	7693.25	voice
393	61546	47	7426	47.0	49.125	7426.0	7693.25	6	388	0	0	0.0	0.75	0.0	48.5	voice
6	388	0	0	0.0	0.75	0.0	48.5	393	61546	47	7426	47.0	49.125	7426.0	7693.25	voice
6	388	0	0	0.0	0.75	0.0	48.5	393	61546	47	7426	47.0	49.125	7426.0	7693.25	voice
393	61546	47	7426	47.0	49.125	7426.0	7693.25	6	388	0	0	0.0	0.75	0.0	48.5	voice
6	388	0	0	0.0	0.75	0.0	48.5	393	61546	47	7426	47.0	49.125	7426.0	7693.25	voice
6	388	0	0	0.0	0.6666666666666666	0.0	43.111111111111114	393	61546	47	7426	47.0	49.125	7426.0	7693.25	voice
393	61546	47	7426	47.0	49.125	7426.0	7693.25	6	388	0	0	0.0	0.75	0.0	48.5	voice
6	388	0	0	0.0	0.75	0.0	48.5	393	61546	47	7426	47.0	49.125	7426.0	7693.25	voice
6	388	0	0	0.0	0.6666666666666666	0.0	43.111111111111114	441	69130	48	7584	48.0	49.0	7584.0	7681.111111111111	voice
441	69130	48	7584	48.0	49.0	7584.0	7681.111111111111	6	388	0	0	0.0	0.75	0.0	48.5	voice
6	388	0	0	0.0	0.75	0.0	48.5	393	61546	47	7426	47.0	49.125	7426.0	7693.25	voice
6	388	0	0	0.0	0.6666666666666666	0.0	43.111111111111114	441	69130	48	7584	48.0	49.0	7584.0	7681.111111111111	voice
441	69130	48	7584	48.0	49.0	7584.0	7681.111111111111	6	388	0	0	0.0	0.6666666666666666	0.0	43.111111111111114	voice
6	388	0	0	0.0	0.75	0.0	48.5	393	61546	47	7426	47.0	49.125	7426.0	7693.25	voice
6	388	0	0	0.0	0.6666666666666666	0.0	43.111111111111114	441	69130	48	7584	48.0	49.0	7584.0	7681.111111111111	voice
441	69130	48	7584	48.0	49.0	7584.0	7681.111111111111	6	388	0	0	0.0	0.6666666666666666	0.0	43.111111111111114	voice
6	388	0	0	0.0	0.6666666666666666	0.0	43.111111111111114	393	61546	47	7426	47.0	49.125	7426.0	7693.25	voice
6	388	0	0	0.0	0.6666666666666666	0.0	43.111111111111114	441	69130	48	7584	48.0	49.0	7584.0	7681.111111111111	voice
441	69130	48	7584	48.0	49.0	7584.0	7681.111111111111	6	388	0	0	0.0	0.6666666666666666	0.0	43.111111111111114	voice
6	388	0	0	0.0	0.6666666666666666	0.0	43.111111111111114	441	69130	48	7584	48.0	49.0	7584.0	7681.111111111111	voice
6	388	0	0	0.0	0.6666666666666666	0.0	43.111111111111114	441	69130	48	7584	48.0	49.0	7584.0	7681.111111111111	voice
490	76785	49	7655	49.0	49.0	7655.0	7678.5	6	388	0	0	0.0	0.6666666666666666	0.0	43.111111111111114	voice
6	388	0	0	0.0	0.6666666666666666	0.0	43.111111111111114	441	69130	48	7584	48.0	49.0	7584.0	7681.111111111111	voice
6	388	0	0	0.0	0.6666666666666666	0.0	43.111111111111114	441	69130	48	7584	48.0	49.0	7584.0	7681.111111111111	voice
490	76785	49	7655	49.0	49.0	7655.0	7678.5	7	454	1	66	1.0	0.7	66.0	45.4	voice
6	388	0	0	0.0	0.6666666666666666	0.0	43.111111111111114	441	69130	48	7584	48.0	49.0	7584.0	7681.111111111111	voice
6	388	0	0	0.0	0.6666666666666666	0.0	43.111111111111114	441	69130	48	7584	48.0	49.0	7584.0	7681.111111111111	voice
490	76785	49	7655	49.0	49.0	7655.0	7678.5	7	454	1	66	1.0	0.7	66.0	45.4	voice
7	454	1	66	1.0	0.7	66.0	45.4	441	69130	48	7584	48.0	49.0	7584.0	7681.111111111111	voice
6	388	0	0	0.0	0.6666666666666666	0.0	43.111111111111114	441	69130	48	7584	48.0	49.0	7584.0	7681.111111111111	voice
490	76785	49	7655	49.0	49.0	7655.0	7678.5	7	454	1	66	1.0	0.7	66.0	45.4	voice
7	454	1	66	1.0	0.7	66.0	45.4	490	76785	49	7655	49.0	49.0	7655.0	7678.5	voice
6	388	0	0	0.0	0.6666666666666666	0.0	43.111111111111114	441	69130	48	7584	48.0	49.0	7584.0	7681.111111111111	voice
490	76785	49	7655	49.0	49.0	7655.0	7678.5	7	454	1	66	1.0	0.7	66.0	45.4	voice
7	454	1	66	1.0	0.7	66.0	45.4	490	76785	49	7655	49.0	49.0	7655.0	7678.5	voice
7	454	1	66	1.0	0.7	66.0	45.4	441	69130	48	7584	48.0	49.0	7584.0	7681.111111111111	voice
490	76785	49	7655	49.0	49.0	7655.0	7678.5	7	454	1	66	1.0	0.7	66.0	45.4	voice
7	454	1	66	1.0	0.7	66.0	45.4	490	76785	49	7655	49.0	49.0	7655.0	7678.5	voice
7	454	1	66	1.0	0.7	66.0	45.4	490	76785	49	7655	49.0	49.0	7655.0	7678.5	voice
