Timestamp,SSIP,SSP,SDFP,SDFB,SFE,Status
2022-07-18_23:18:23.510160,0.4,4.0,7.240601069999318,1375.7142032998704,4.2,0
2022-07-18_23:18:28.506164,0.6,5.2,7.435317788587382,1563.2168163165386,5.4,0
2022-07-18_23:18:28.511381,0.6,5.2,7.418880004506206,1557.6338973021523,5.4,0
2022-07-18_23:18:28.512016,0.6,5.2,7.418880004506206,1557.6338973021523,5.4,0
2022-07-18_23:18:33.508731,0.6,6.2,6.844178068804172,1444.1873958648857,6.4,0
2022-07-18_23:18:33.515494,0.6,6.2,6.8282501418738315,1438.9936899944175,6.4,0
2022-07-18_23:18:33.516567,0.6,6.2,6.8282501418738315,1438.9936899944175,6.4,0
2022-07-18_23:18:38.511141,0.6,7.2,6.37471264337538,1348.6590607841583,7.4,0
2022-07-18_23:18:38.520672,0.6,7.2,6.359339427543671,1343.784922049484,7.4,0
2022-07-18_23:18:38.521825,0.6,7.2,6.359339427543671,1343.784922049484,7.4,0
2022-07-18_23:18:43.512332,0.6,8.2,5.990213106495002,1269.8231812203721,8.4,0
2022-07-18_23:18:43.521484,0.6,8.2,5.975384123175776,1265.2170070110235,8.4,0
2022-07-18_23:18:43.522437,0.6,8.2,5.975384123175776,1265.2170070110235,8.4,0
2022-07-18_23:18:48.513382,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:18:48.524856,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:18:48.527057,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:18:53.515087,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:18:53.522939,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:18:53.523986,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:18:58.516198,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:18:58.523408,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:18:58.524412,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:19:03.517397,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:19:03.525080,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:19:03.526241,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:19:08.518801,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:19:08.526595,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:19:08.527340,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:19:13.526158,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:19:13.533288,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:19:13.534253,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:19:18.528721,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:19:18.575977,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:19:18.577037,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:19:23.531548,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:19:23.538924,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:19:23.539624,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:19:28.532787,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:19:28.540156,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:19:28.541221,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:19:33.533860,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:19:33.541663,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:19:33.542818,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:19:38.535514,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:19:38.543919,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:19:38.544905,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:19:43.536194,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:19:43.543137,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:19:43.544187,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:19:48.536887,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:19:48.543749,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:19:48.544418,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:19:53.538070,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:19:53.545158,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:19:53.546002,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:19:58.540824,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:19:58.549179,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:19:58.550166,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:20:03.542345,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:20:03.549239,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:20:03.550089,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:20:08.555416,0.4,8.0,0.49985125687607795,36.77194699309917,8.2,0
2022-07-18_23:20:08.562663,0.4,8.0,0.49985125687607795,36.77194699309917,8.2,0
2022-07-18_23:20:08.563658,0.4,8.0,0.49985125687607795,36.77194699309917,8.2,0
2022-07-18_23:20:13.556026,0.4,7.0,1.0393492741038723,185.6346471492383,7.2,0
2022-07-18_23:20:13.564412,0.4,7.0,1.0393492741038723,185.6346471492383,7.2,0
2022-07-18_23:20:13.565393,0.4,7.0,1.0393492741038723,185.6346471492383,7.2,0
2022-07-18_23:20:18.557603,0.4,6.0,1.9435316556634927,367.2165006868441,6.2,0
2022-07-18_23:20:18.563416,0.4,6.0,1.9435316556634927,367.2165006868441,6.2,0
2022-07-18_23:20:18.564543,0.4,6.0,1.9435316556634927,367.2165006868441,6.2,0
2022-07-18_23:20:23.561490,0.4,5.0,2.876398553582806,546.7601023003192,5.2,0
2022-07-18_23:20:23.562369,0.4,5.0,3.0672926211349054,583.2769699453589,5.2,0
2022-07-18_23:20:23.565352,0.4,5.0,3.0672926211349054,583.2769699453589,5.2,0
2022-07-18_23:20:28.567228,0.4,4.0,4.259177099999599,809.243648999924,4.2,0
2022-07-18_23:20:28.568209,0.4,4.0,4.259177099999599,809.243648999924,4.2,0
2022-07-18_23:20:28.568696,0.4,4.0,4.259177099999599,809.243648999924,4.2,0
2022-07-18_23:20:33.566181,0.4,4.0,5.323971374999499,1011.5545612499049,4.2,0
2022-07-18_23:20:33.570481,0.4,4.0,5.323971374999499,1011.5545612499049,4.2,0
2022-07-18_23:20:33.571156,0.4,4.0,5.323971374999499,1011.5545612499049,4.2,0
2022-07-18_23:20:38.608617,0.4,4.0,6.388765649999399,1213.8654734998859,4.2,0
2022-07-18_23:20:38.613190,0.4,4.0,6.388765649999399,1213.8654734998859,4.2,0
2022-07-18_23:20:38.613912,0.4,4.0,6.388765649999399,1213.8654734998859,4.2,0
2022-07-18_23:20:43.613066,0.4,4.0,7.4535599249993,1416.1763857498665,4.2,0
2022-07-18_23:20:43.617296,0.4,4.0,7.4535599249993,1416.1763857498665,4.2,0
2022-07-18_23:20:43.618103,0.4,4.0,7.4535599249993,1416.1763857498665,4.2,0
2022-07-18_23:20:48.626098,0.4,4.0,8.518354199999198,1618.487297999848,4.2,0
2022-07-18_23:20:48.626636,0.4,4.0,8.518354199999198,1618.487297999848,4.2,0
2022-07-18_23:20:48.627008,0.4,4.0,8.518354199999198,1618.487297999848,4.2,0
2022-07-18_23:20:53.640859,0.4,4.0,9.5831484749991,1820.7982102498288,4.2,0
2022-07-18_23:20:53.646809,0.4,4.0,9.5831484749991,1820.7982102498288,4.2,0
2022-07-18_23:20:53.647727,0.4,4.0,9.5831484749991,1820.7982102498288,4.2,0
2022-07-18_23:20:58.657442,0.4,4.0,10.647942749998998,2023.1091224998097,4.2,0
2022-07-18_23:20:58.662632,0.4,4.0,10.647942749998998,2023.1091224998097,4.2,0
2022-07-18_23:20:58.663420,0.4,4.0,10.647942749998998,2023.1091224998097,4.2,0
2022-07-18_23:21:03.668377,0.4,4.0,11.7127370249989,2225.420034749791,4.2,0
2022-07-18_23:21:03.672544,0.4,4.0,11.7127370249989,2225.420034749791,4.2,0
2022-07-18_23:21:03.672995,0.4,4.0,11.7127370249989,2225.420034749791,4.2,0
2022-07-18_23:21:08.669460,0.2,4.0,0.0,0.0,4.0,0
2022-07-18_23:21:08.673942,0.2,4.0,0.0,0.0,4.0,0
2022-07-18_23:21:08.674687,0.2,4.0,0.0,0.0,4.0,0
2022-07-18_23:21:13.723440,0.4,4.0,1.0647942749998998,202.310912249981,4.2,0
2022-07-18_23:21:13.727362,0.4,4.0,1.0647942749998998,202.310912249981,4.2,0
2022-07-18_23:21:13.727712,0.4,4.0,1.0647942749998998,202.310912249981,4.2,0
2022-07-18_23:21:18.728565,0.4,4.0,2.1295885499997995,404.621824499962,4.2,0
2022-07-18_23:21:18.733201,0.4,4.0,2.1295885499997995,404.621824499962,4.2,0
2022-07-18_23:21:18.733942,0.4,4.0,2.1295885499997995,404.621824499962,4.2,0
2022-07-18_23:21:23.749959,0.4,4.0,3.1943828249996997,606.9327367499429,4.2,0
2022-07-18_23:21:23.755746,0.4,4.0,3.1943828249996997,606.9327367499429,4.2,0
2022-07-18_23:21:23.756762,0.4,4.0,3.1943828249996997,606.9327367499429,4.2,0
2022-07-18_23:21:28.755041,0.4,4.0,4.259177099999599,809.243648999924,4.2,0
2022-07-18_23:21:28.759668,0.4,4.0,4.259177099999599,809.243648999924,4.2,0
2022-07-18_23:21:28.760263,0.4,4.0,4.259177099999599,809.243648999924,4.2,0
2022-07-18_23:21:33.769725,0.4,4.0,5.323971374999499,1011.5545612499049,4.2,0
2022-07-18_23:21:33.775822,0.4,4.0,5.323971374999499,1011.5545612499049,4.2,0
2022-07-18_23:21:33.776788,0.4,4.0,5.323971374999499,1011.5545612499049,4.2,0
2022-07-18_23:21:38.785870,0.4,4.0,6.388765649999399,1213.8654734998859,4.2,0
2022-07-18_23:21:38.792230,0.4,4.0,6.388765649999399,1213.8654734998859,4.2,0
2022-07-18_23:21:38.792975,0.4,4.0,6.388765649999399,1213.8654734998859,4.2,0
2022-07-18_23:21:43.787961,0.4,4.0,7.4535599249993,1416.1763857498665,4.2,0
2022-07-18_23:21:43.793835,0.4,4.0,7.4535599249993,1416.1763857498665,4.2,0
2022-07-18_23:21:43.794784,0.4,4.0,7.4535599249993,1416.1763857498665,4.2,0
2022-07-18_23:21:48.790221,0.4,4.6,7.819913149560336,1643.150758958735,4.8,0
2022-07-18_23:21:48.796332,0.6,5.4,7.271958302343353,1531.5051286834378,5.6,0
2022-07-18_23:21:48.797026,0.4,4.6,7.819913149560336,1643.150758958735,4.8,0
2022-07-18_23:21:53.791287,0.4,3.6,8.68149877916432,1821.1405394054375,3.8,0
2022-07-18_23:21:53.799042,0.6,6.4,6.7101885171521705,1418.1887723217224,6.6,0
2022-07-18_23:21:53.800013,0.4,3.6,8.68149877916432,1821.1405394054375,3.8,0
2022-07-18_23:21:58.800159,0.4,2.6,9.895628802039571,2069.4364608042747,2.8,0
2022-07-18_23:21:58.806407,0.4,2.6,9.895628802039571,2069.4364608042747,2.8,0
2022-07-18_23:21:58.807138,0.6,7.4,6.261222611220402,1326.703347720652,7.6,0
2022-07-18_23:22:03.801954,0.4,1.6,11.747340124470728,2438.099806543339,1.8,0
2022-07-18_23:22:03.810095,0.6,8.4,5.8917584590102265,1250.8575662971346,8.6,0
2022-07-18_23:22:03.811558,0.4,1.6,11.747340124470728,2438.099806543339,1.8,0
2022-07-18_23:22:08.810670,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:22:13.837581,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:22:18.903302,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:22:23.902486,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:22:28.904347,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:22:33.904981,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:22:38.905198,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:22:43.905828,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:22:48.907312,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:22:53.917391,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:22:58.921497,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:23:03.921571,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:23:08.923317,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:23:13.926271,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:23:18.928001,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:23:23.930239,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:23:28.938655,0.4,7.8,0.5477225575051661,61.47975276462975,8.0,0
2022-07-18_23:23:33.940701,0.4,6.8,1.2020390838835788,219.6644119504819,7.0,0
2022-07-18_23:23:38.945949,0.4,5.8,2.14993539954628,407.2903632545214,6.0,0
2022-07-18_23:23:43.948025,0.4,4.8,3.3226495451672293,631.8677532522134,5.0,0
2022-07-18_23:23:48.950792,0.4,4.0,4.685094809999559,890.1680138999163,4.2,0
2022-07-18_23:23:53.953092,0.4,4.0,5.7498890849994595,1092.4789261498972,4.2,0
2022-07-18_23:23:58.954544,0.4,4.0,6.814683359999359,1294.7898383998784,4.2,0
2022-07-18_23:24:03.956907,0.4,4.0,7.87947763499926,1497.1007506498593,4.2,0
2022-07-18_23:24:08.958136,0.4,4.0,8.94427190999916,1699.4116628998402,4.2,0
2022-07-18_23:24:13.961015,0.4,4.0,10.009066184999059,1901.722575149821,4.2,0
2022-07-18_23:24:18.962817,0.4,4.0,11.07386045999896,2104.033487399802,4.2,0
2022-07-18_23:24:23.962995,0.4,4.0,12.138654734998859,2306.344399649783,4.2,0
